"Historical Data"
"From 2023-11-29 to 2024-12-28"
US912810TV08
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover
22/03/2024;105,60;106,17;105,60;106,04;106,04;73000;3;77402;106.029452
21/03/2024;105,27;105,46;104,80;104,83;104,95;127800;9;134418;105.178537
20/03/2024;105,34;105,34;105,15;105,18;105,30;107000;4;112516;105.155327
19/03/2024;105,08;105,08;104,80;104,85;104,91;406100;6;425859;104.865447
18/03/2024;105,35;105,35;105,20;105,20;104,78;12000;2;12627;105.225
15/03/2024;105,42;105,42;105,14;105,14;105,35;515000;2;541513;105.148155
14/03/2024;105,55;105,55;105,55;105,55;105,31;6000;1;6333;105.55
13/03/2024;107,30;107,30;107,30;107,30;106,70;5000;1;5365;107.3
12/03/2024;'0,00;'0,00;'0,00;'0,00;107,39;'0;'0;'0;
11/03/2024;108,97;108,97;108,50;108,50;108,26;7200;2;7822;108.643611
'08/03/2024;108,34;108,34;108,34;108,34;108,34;9000;1;9751;108.34
'07/03/2024;108,95;108,95;108,40;108,40;108,40;102000;2;111118;108.939216
'06/03/2024;107,46;107,46;107,46;107,46;108,21;18000;2;19343;107.46
'05/03/2024;107,20;108,00;107,20;108,00;108,00;10000;2;10760;107.6
'04/03/2024;106,55;106,55;106,55;106,55;106,38;100000;1;106550;106.55
'01/03/2024;'0,00;'0,00;'0,00;'0,00;106,65;'0;'0;'0;
29/02/2024;105,55;105,55;105,20;105,20;106,38;109000;2;115018;105.521101
28/02/2024;105,50;105,50;105,20;105,20;105,39;350000;3;368800;105.371429
27/02/2024;'0,00;'0,00;'0,00;'0,00;105,62;'0;'0;'0;
26/02/2024;'0,00;'0,00;'0,00;'0,00;105,87;'0;'0;'0;
23/02/2024;105,51;105,51;105,51;105,51;105,51;1000;1;1055;105.51
22/02/2024;'0,00;'0,00;'0,00;'0,00;104,77;'0;'0;'0;
21/02/2024;105,24;105,24;104,98;104,98;104,98;152000;2;159575;104.983421
20/02/2024;105,28;105,28;104,96;105,00;105,28;121000;3;127080;105.024793
19/02/2024;'0,00;'0,00;'0,00;'0,00;105,59;'0;'0;'0;
16/02/2024;'0,00;'0,00;'0,00;'0,00;104,88;'0;'0;'0;
15/02/2024;106,10;106,10;106,10;106,10;105,28;7000;1;7427;106.1
14/02/2024;105,05;105,05;104,70;104,70;104,94;5000;2;5246;104.91
13/02/2024;'0,00;'0,00;'0,00;'0,00;105,21;'0;'0;'0;
12/02/2024;'0,00;'0,00;'0,00;'0,00;106,06;'0;'0;'0;
'09/02/2024;106,51;106,52;106,51;106,52;106,52;200;2;213;106.515
'08/02/2024;106,95;106,95;106,88;106,88;106,23;40000;2;42773;106.9325
'07/02/2024;'0,00;'0,00;'0,00;'0,00;107,46;'0;'0;'0;
'06/02/2024;106,90;107,20;106,65;107,20;107,16;500000;5;534775;106.955
'05/02/2024;108,55;108,55;106,92;106,92;107,07;335100;8;361067;107.74915
'02/02/2024;110,90;110,91;108,81;108,81;108,81;156000;3;172914;110.842372
'01/02/2024;109,40;111,45;109,40;111,45;111,13;1027000;11;1135384;110.553418
31/01/2024;108,50;108,55;108,15;108,55;109,16;400000;4;433400;108.35
30/01/2024;107,60;107,85;107,25;107,25;107,25;500000;5;538050;107.61
29/01/2024;106,75;106,75;106,75;106,75;106,72;100000;1;106750;106.75
26/01/2024;106,39;106,39;106,39;106,39;106,26;800;1;851;106.39
25/01/2024;105,85;105,85;105,85;105,85;106,34;15000;1;15878;105.85
24/01/2024;'0,00;'0,00;'0,00;'0,00;106,08;'0;'0;'0;
23/01/2024;107,00;107,00;106,13;106,14;106,14;335000;7;356556;106.434597
22/01/2024;'0,00;'0,00;'0,00;'0,00;107,30;'0;'0;'0;
19/01/2024;106,42;106,42;106,42;106,42;106,24;5000;1;5321;106.42
18/01/2024;107,55;107,55;106,80;106,80;106,80;84000;2;90267;107.460714
17/01/2024;107,85;107,85;107,11;107,11;107,38;15000;2;16141;107.603333
16/01/2024;'0,00;'0,00;'0,00;'0,00;107,96;'0;'0;'0;
15/01/2024;'0,00;'0,00;'0,00;'0,00;109,92;'0;'0;'0;
12/01/2024;'0,00;'0,00;'0,00;'0,00;109,57;'0;'0;'0;
11/01/2024;'0,00;'0,00;'0,00;'0,00;108,75;'0;'0;'0;
10/01/2024;110,33;110,33;110,33;110,33;109,43;12100;1;13350;110.33
'09/01/2024;'0,00;'0,00;'0,00;'0,00;109,66;'0;'0;'0;
'08/01/2024;'0,00;'0,00;'0,00;'0,00;110,23;'0;'0;'0;
'05/01/2024;109,80;109,80;109,69;109,69;109,69;57700;3;63294;109.695719
'04/01/2024;111,14;111,14;111,14;111,14;110,67;30000;1;33342;111.14
'03/01/2024;111,14;111,14;111,00;111,00;110,97;23500;2;26090;111.020851
'02/01/2024;'0,00;'0,00;'0,00;'0,00;111,72;'0;'0;'0;
29/12/2023;112,64;112,64;112,64;112,64;112,85;20000;1;22528;112.64
28/12/2023;'0,00;'0,00;'0,00;'0,00;113,55;'0;'0;'0;
27/12/2023;112,82;113,50;112,82;113,50;113,51;45000;4;50957;113.237778
22/12/2023;113,04;113,04;112,95;112,95;111,94;78500;2;88732;113.034268
21/12/2023;'0,00;'0,00;'0,00;'0,00;112,95;'0;'0;'0;
20/12/2023;'0,00;'0,00;'0,00;'0,00;112,16;'0;'0;'0;
19/12/2023;'0,00;'0,00;'0,00;'0,00;112,66;'0;'0;'0;
18/12/2023;'0,00;'0,00;'0,00;'0,00;111,75;'0;'0;'0;
15/12/2023;'0,00;'0,00;'0,00;'0,00;112,66;'0;'0;'0;
14/12/2023;'0,00;'0,00;'0,00;'0,00;111,90;'0;'0;'0;
13/12/2023;'0,00;'0,00;'0,00;'0,00;108,16;'0;'0;'0;
12/12/2023;107,99;107,99;107,99;107,99;107,10;2000;1;2160;107.99
11/12/2023;'0,00;'0,00;'0,00;'0,00;106,84;'0;'0;'0;
'08/12/2023;'0,00;'0,00;'0,00;'0,00;106,89;'0;'0;'0;
'07/12/2023;108,27;108,27;108,27;108,27;108,56;15000;1;16241;108.27
'06/12/2023;'0,00;'0,00;'0,00;'0,00;108,65;'0;'0;'0;
'05/12/2023;107,68;107,68;107,68;107,68;107,68;2000;1;2154;107.68
'04/12/2023;105,36;105,38;105,36;105,38;104,97;200000;2;210740;105.37
'01/12/2023;103,95;103,95;103,91;103,92;103,93;300000;3;311780;103.926667
30/11/2023;'0,00;'0,00;'0,00;'0,00;104,27;'0;'0;'0;
29/11/2023;104,60;104,60;104,60;104,60;104,53;100000;1;104600;104.6
